"officer_id","row_number","incident_date","incident_date-2","allegation_interval","goodorbad"
3987,"30433","2015-03-12 19:00:00-05","2015-04-11 19:00:00-05","30 days","good"
3990,"30438","2015-01-06 18:00:00-06","2015-06-29 19:00:00-05","174 days","good"
4001,"30575","2015-07-02 19:00:00-05","2017-06-07 19:00:00-05","706 days","good"
4036,"30849","2015-06-13 19:00:00-05","2015-11-22 18:00:00-06","162 days","good"
4036,"30850","2015-11-22 18:00:00-06","2016-03-12 18:00:00-06","111 days","good"
4038,"30873","2015-08-12 19:00:00-05","2015-08-15 19:00:00-05","3 days","good"
4069,"31127","2015-08-09 19:00:00-05","2016-02-18 18:00:00-06","193 days","good"
4072,"31132","2015-05-24 19:00:00-05","2016-01-13 18:00:00-06","234 days","good"
4078,"31196","2015-06-16 19:00:00-05","2015-06-24 19:00:00-05","8 days","bad"
4078,"31197","2015-06-24 19:00:00-05","2015-07-10 19:00:00-05","16 days","bad"
4078,"31198","2015-07-10 19:00:00-05","2015-10-13 19:00:00-05","95 days","bad"
4078,"31199","2015-10-13 19:00:00-05","2015-10-14 19:00:00-05","1 day","bad"
4078,"31200","2015-10-14 19:00:00-05","2015-11-23 18:00:00-06","40 days","bad"
4078,"31201","2015-11-23 18:00:00-06","2015-11-30 18:00:00-06","7 days","bad"
4078,"31202","2015-11-30 18:00:00-06","2015-12-25 18:00:00-06","25 days","bad"
4103,"31401","2015-02-09 18:00:00-06","2016-01-01 18:00:00-06","326 days","good"
4118,"31516","2015-02-09 18:00:00-06","2015-03-13 19:00:00-05","32 days","bad"
4118,"31517","2015-03-13 19:00:00-05","2015-05-02 19:00:00-05","50 days","bad"
4118,"31518","2015-05-02 19:00:00-05","2015-05-19 19:00:00-05","17 days","bad"
4118,"31519","2015-05-19 19:00:00-05","2015-06-14 19:00:00-05","26 days","bad"
4118,"31520","2015-06-14 19:00:00-05","2015-06-25 19:00:00-05","11 days","bad"
4118,"31521","2015-06-25 19:00:00-05","2015-11-05 18:00:00-06","133 days","bad"
4118,"31522","2015-11-05 18:00:00-06","2015-12-17 18:00:00-06","42 days","bad"
4118,"31523","2015-12-17 18:00:00-06","2016-04-21 19:00:00-05","126 days","bad"
4186,"31963","2015-03-22 19:00:00-05","2016-03-08 18:00:00-06","352 days","good"
4202,"32073","2015-06-07 19:00:00-05","2015-11-03 18:00:00-06","149 days","bad"
4217,"32236","2015-10-01 19:00:00-05","2015-10-26 19:00:00-05","25 days","good"
4218,"32241","2015-09-10 19:00:00-05","2016-01-21 18:00:00-06","133 days","good"
4233,"32378","2015-09-10 19:00:00-05","2017-09-26 19:00:00-05","747 days","good"
4252,"32474","2015-03-08 19:00:00-05","2015-03-09 19:00:00-05","1 day","good"
4252,"32475","2015-03-09 19:00:00-05","2015-04-04 19:00:00-05","26 days","good"
4252,"32476","2015-04-04 19:00:00-05","2015-07-19 19:00:00-05","106 days","good"
4252,"32477","2015-07-19 19:00:00-05","2016-01-07 18:00:00-06","172 days","good"
4255,"32514","2015-04-27 19:00:00-05","2016-05-26 19:00:00-05","395 days","good"
4278,"32703","2015-10-29 19:00:00-05","2016-03-27 19:00:00-05","150 days","good"
4299,"32913","2015-08-25 19:00:00-05","2015-09-18 19:00:00-05","24 days","good"
4333,"33169","2015-03-21 19:00:00-05","2015-03-21 19:00:00-05","00:00:00","good"
4333,"33170","2015-03-21 19:00:00-05","2015-07-13 19:00:00-05","114 days","good"
4334,"33197","2015-03-11 19:00:00-05","2015-08-18 19:00:00-05","160 days","good"
4334,"33198","2015-08-18 19:00:00-05","2017-05-23 19:00:00-05","644 days","good"
4381,"33441","2015-07-23 19:00:00-05","2015-08-01 19:00:00-05","9 days","good"
4381,"33442","2015-08-01 19:00:00-05","2015-11-27 18:00:00-06","118 days","good"
4383,"33452","2015-10-25 19:00:00-05","2015-12-05 18:00:00-06","41 days","good"
4440,"33823","2015-04-03 19:00:00-05","2016-03-11 18:00:00-06","343 days","good"
4474,"34086","2015-06-29 19:00:00-05","2016-01-13 18:00:00-06","198 days","good"
4482,"34160","2015-10-14 19:00:00-05","2015-10-25 19:00:00-05","11 days","good"
4482,"34161","2015-10-25 19:00:00-05","2016-03-25 19:00:00-05","152 days","good"
4524,"34452","2015-01-16 18:00:00-06","2015-02-03 18:00:00-06","18 days","good"
4524,"34453","2015-02-03 18:00:00-06","2015-03-02 18:00:00-06","27 days","good"
4524,"34454","2015-03-02 18:00:00-06","2015-03-04 18:00:00-06","2 days","good"
4524,"34455","2015-03-04 18:00:00-06","2016-01-14 18:00:00-06","316 days","good"
4538,"34585","2015-09-22 19:00:00-05","2015-11-12 18:00:00-06","51 days","good"
4538,"34586","2015-11-12 18:00:00-06","2015-11-15 18:00:00-06","3 days","good"
4545,"34627","2015-01-28 18:00:00-06","2015-02-19 18:00:00-06","22 days","good"
4545,"34628","2015-02-19 18:00:00-06","2016-03-18 19:00:00-05","393 days","good"
4547,"34635","2015-06-24 19:00:00-05","2015-12-18 18:00:00-06","177 days","good"
4550,"34667","2015-10-18 19:00:00-05","2015-11-18 18:00:00-06","31 days","good"
4636,"35061","2015-01-18 18:00:00-06","2015-07-30 19:00:00-05","193 days","good"
4636,"35062","2015-07-30 19:00:00-05","2015-09-27 19:00:00-05","59 days","good"
4659,"35191","2015-03-09 19:00:00-05","2015-05-10 19:00:00-05","62 days","good"
4687,"35336","2015-02-08 18:00:00-06","2015-02-09 18:00:00-06","1 day","bad"
4687,"35337","2015-02-09 18:00:00-06","2015-03-29 19:00:00-05","48 days","bad"
4687,"35338","2015-03-29 19:00:00-05","2015-05-16 19:00:00-05","48 days","bad"
4687,"35339","2015-05-16 19:00:00-05","2015-11-23 18:00:00-06","191 days","bad"
4816,"36249","2015-05-08 19:00:00-05","2015-08-19 19:00:00-05","103 days","bad"
4816,"36250","2015-08-19 19:00:00-05","2016-06-14 19:00:00-05","300 days","bad"
4841,"36434","2015-09-22 19:00:00-05","2015-10-16 19:00:00-05","24 days","good"
4841,"36435","2015-10-16 19:00:00-05","2016-01-25 18:00:00-06","101 days","good"
4844,"36513","2015-01-14 18:00:00-06","2015-02-16 18:00:00-06","33 days","bad"
4844,"36514","2015-02-16 18:00:00-06","2015-09-07 19:00:00-05","203 days","bad"
4844,"36515","2015-09-07 19:00:00-05","2016-06-12 19:00:00-05","279 days","bad"
4852,"36593","2015-01-05 18:00:00-06","2015-03-17 19:00:00-05","71 days","good"
4860,"36637","2015-09-30 19:00:00-05","2016-04-09 19:00:00-05","192 days","good"
4875,"36743","2015-05-27 19:00:00-05","2015-08-04 19:00:00-05","69 days","good"
4880,"36782","2015-02-25 18:00:00-06","2016-05-23 19:00:00-05","453 days","good"
4895,"36914","2015-08-19 19:00:00-05","2016-03-18 19:00:00-05","212 days","good"
4919,"37008","2015-03-16 19:00:00-05","2015-12-02 18:00:00-06","261 days","bad"
4919,"37009","2015-12-02 18:00:00-06","2015-12-20 18:00:00-06","18 days","bad"
4927,"37102","2015-02-15 18:00:00-06","2015-03-12 19:00:00-05","25 days","good"
4927,"37103","2015-03-12 19:00:00-05","2016-05-11 19:00:00-05","426 days","good"
4932,"37118","2015-11-25 18:00:00-06","2017-06-30 19:00:00-05","583 days","good"
4987,"37525","2015-02-12 18:00:00-06","2015-05-26 19:00:00-05","103 days","bad"
5037,"37757","2015-07-28 19:00:00-05","2015-08-05 19:00:00-05","8 days","good"
5037,"37758","2015-08-05 19:00:00-05","2016-03-18 19:00:00-05","226 days","good"
5043,"37801","2015-03-14 19:00:00-05","2015-05-19 19:00:00-05","66 days","good"
5089,"38190","2015-11-18 18:00:00-06","2017-09-03 19:00:00-05","655 days","good"
5106,"38347","2015-01-12 18:00:00-06","2015-09-13 19:00:00-05","244 days","good"
5110,"38374","2015-03-16 19:00:00-05","2015-04-18 19:00:00-05","33 days","good"
5131,"38484","2015-11-16 18:00:00-06","2016-04-01 19:00:00-05","137 days","good"
5179,"38770","2015-08-13 19:00:00-05","2016-03-01 18:00:00-06","201 days","good"
5221,"39118","2015-08-14 19:00:00-05","2017-05-14 19:00:00-05","639 days","good"
5239,"39263","2015-05-27 19:00:00-05","2015-12-06 18:00:00-06","193 days","bad"
5239,"39264","2015-12-06 18:00:00-06","2016-01-10 18:00:00-06","35 days","bad"
5277,"39526","2015-11-24 18:00:00-06","2016-02-25 18:00:00-06","93 days","good"
5278,"39532","2015-09-08 19:00:00-05","2015-10-19 19:00:00-05","41 days","good"
5328,"39851","2015-07-21 19:00:00-05","2015-08-27 19:00:00-05","37 days","good"
5328,"39852","2015-08-27 19:00:00-05","2015-09-01 19:00:00-05","5 days","good"
5328,"39853","2015-09-01 19:00:00-05","2015-10-09 19:00:00-05","38 days","good"
5332,"39907","2015-02-06 18:00:00-06","2015-03-10 19:00:00-05","32 days","good"
5332,"39908","2015-03-10 19:00:00-05","2016-05-09 19:00:00-05","426 days","good"
5334,"39923","2015-03-03 18:00:00-06","2016-03-21 19:00:00-05","384 days","good"
5412,"40447","2015-07-19 19:00:00-05","2016-11-04 19:00:00-05","474 days","good"
5421,"40537","2015-11-30 18:00:00-06","2016-05-24 19:00:00-05","176 days","good"
